name,longitude,latitude
Du Quartier,-73.433737,45.447199
Panama,-73.46813399999998,45.467379
Ile-des-Soeurs,-73.539361,45.47053
Griffintown-Bernard-Landry,-73.559108,45.496157
Central Station,-73.5665,45.501156
McGill,-73.572887,45.503013
Edouard-Montpetit,-73.612494,45.51026
Canora,-73.634327,45.51403
Ville-de-Mont-Royal,-73.64510600000001,45.517122
Cote-de-Liesse,-73.66156,45.521693
Montpellier,-73.67259200000002,45.525039
Du Ruisseau,-73.69051800000003,45.528954
Bois-Franc,-73.70958399999998,45.523183
Marie-Curie,-73.760703,45.478795
YUL,-73.749629,45.456289
Des Sources,-73.790013,45.476466
Fairview-Pointe-Claire,-73.83511,45.46072
Kirkland,-73.88584499999997,45.44002800000001
Anse-a-lOrme,-73.908239,45.43231
Sunnybrooke,-73.786252,45.504062
Pierrefonds-Roxboro,-73.812014,45.509857
Ile-Bigras,-73.853033,45.519987
Sainte-Dorothée,-73.863487,45.523531
Grand-Moulin,-73.88707099999998,45.537111
Deux-Montagnes,-73.913026,45.545816
